ticker,date,period_ending,estimate,reported,surprise,surprise%
ASH,07-Nov-2022,Sep 2022,1.39,1.46,0.07,5.04
ASIX,04-Nov-2022,Sep 2022,0.32,0.43,0.11,34.38
ASLE,08-Nov-2022,Sep 2022,0.05,-0.03,-0.08,-160.0
ASO,07-Dec-2022,Oct 2022,1.64,1.69,0.05,3.05
ASPN,26-Oct-2022,Sep 2022,-0.54,-0.75,-0.21,-38.89
ASTE,02-Nov-2022,Sep 2022,0.31,0.28,-0.03,-9.68
ATEC,03-Nov-2022,Sep 2022,-0.32,-0.35,-0.03,-9.38
ATEN,01-Nov-2022,Sep 2022,0.18,0.17,-0.01,-5.56
ATEX,31-Oct-2022,Sep 2022,-0.67,-0.56,0.11,16.42
ATGE,03-Nov-2022,Sep 2022,0.71,0.88,0.17,23.94
ATI,02-Nov-2022,Sep 2022,0.52,0.53,0.01,1.92
ATNI,26-Oct-2022,Sep 2022,-0.14,-0.25,-0.11,-78.57
ATO,09-Nov-2022,Sep 2022,0.45,0.51,0.06,13.33
ATR,27-Oct-2022,Sep 2022,0.93,0.95,0.02,2.15
ATRA,08-Nov-2022,Sep 2022,-0.78,-0.82,-0.04,-5.13
ATRC,01-Nov-2022,Sep 2022,-0.25,-0.27,-0.02,-8.0
ATRO,15-Nov-2022,Sep 2022,-0.4,-0.46,-0.06,-15.0
ATSG,03-Nov-2022,Sep 2022,0.53,0.6,0.07,13.21
ATUS,02-Nov-2022,Sep 2022,0.34,0.19,-0.15,-44.12
ATVI,07-Nov-2022,Sep 2022,0.51,0.68,0.17,33.33
AUPH,03-Nov-2022,Sep 2022,-0.18,-0.06,0.12,66.67
AVA,01-Nov-2022,Sep 2022,0.16,-0.08,-0.24,-150.0
AVB,03-Nov-2022,Sep 2022,2.53,3.53,1.0,39.53
AVD,08-Nov-2022,Sep 2022,0.21,0.23,0.02,9.52
AVDX,02-Nov-2022,Sep 2022,-0.11,-0.06,0.05,45.45
AVGO,08-Dec-2022,Oct 2022,10.27,10.45,0.18,1.75
AVID,08-Nov-2022,Sep 2022,0.32,0.38,0.06,18.75
AVIR,07-Nov-2022,Sep 2022,-0.44,-0.1,0.34,77.27
AVNS,02-Nov-2022,Sep 2022,0.36,0.38,0.02,5.56
AVNT,02-Nov-2022,Sep 2022,0.61,0.59,-0.02,-3.28
AVO,22-Dec-2022,Oct 2022,0.35,0.13,-0.22,-62.86
AVT,26-Oct-2022,Sep 2022,1.91,2.0,0.09,4.71
AVTE,14-Nov-2022,Sep 2022,-0.5,-0.56,-0.06,-12.0
AVTR,28-Oct-2022,Sep 2022,0.33,0.34,0.01,3.03
AVXL,28-Nov-2022,Sep 2022,-0.16,-0.18,-0.02,-12.5
AVY,26-Oct-2022,Sep 2022,2.51,2.46,-0.05,-1.99
AWI,25-Oct-2022,Sep 2022,1.47,1.36,-0.11,-7.48
AWK,31-Oct-2022,Sep 2022,1.49,1.63,0.14,9.4
AWR,07-Nov-2022,Sep 2022,0.7,0.69,-0.01,-1.43
AX,27-Oct-2022,Sep 2022,1.13,1.18,0.05,4.42
AXGN,08-Nov-2022,Sep 2022,-0.15,-0.01,0.14,93.33
AXL,04-Nov-2022,Sep 2022,0.23,0.27,0.04,17.39
AXNX,31-Oct-2022,Sep 2022,-0.47,-0.34,0.13,27.66
AXON,08-Nov-2022,Sep 2022,0.46,0.6,0.14,30.43
AXP,21-Oct-2022,Sep 2022,2.42,2.47,0.05,2.07
AXS,26-Oct-2022,Sep 2022,0.04,0.03,-0.01,-25.0
AXSM,07-Nov-2022,Sep 2022,-1.1,-1.03,0.07,6.36
AXTA,25-Oct-2022,Sep 2022,0.39,0.39,0.0,0.0
AXTI,27-Oct-2022,Sep 2022,0.11,0.16,0.05,45.45
AYI,04-Oct-2022,Aug 2022,3.35,3.95,0.6,17.91
AYX,01-Nov-2022,Sep 2022,-0.11,-0.05,0.06,54.55
