ticker,date,period_ending,estimate,reported,surprise,surprise%
SPLK,01-MAR-23,Jan 2023,1.11,2.04,0.93,83.78
SPNS,21-FEB-23,Dec 2022,0.33,0.32,-0.01,-3.03
SPOT,31-JAN-23,Dec 2022,-1.28,-1.43,-0.15,-11.72
SPR,07-FEB-23,Dec 2022,-0.31,-1.46,-1.15,-370.97
SPSC,09-FEB-23,Dec 2022,0.53,0.63,0.1,18.87
SPT,21-FEB-23,Dec 2022,-0.02,0.03,0.05,250.0
SPTN,23-FEB-23,Dec 2022,0.35,0.28,-0.07,-20.0
SPWR,15-FEB-23,Dec 2022,0.14,0.15,0.01,7.14
SPXC,23-FEB-23,Dec 2022,0.98,1.17,0.19,19.39
SQ,23-FEB-23,Dec 2022,0.28,0.22,-0.06,-21.43
SR,01-FEB-23,Dec 2022,1.15,1.55,0.4,34.78
SRC,28-FEB-23,Dec 2022,0.89,0.48,-0.41,-46.07
SRCE,19-JAN-23,Dec 2022,1.3,1.25,-0.05,-3.85
SRCL,23-FEB-23,Dec 2022,0.6,0.6,0.0,0.0
SRDX,06-FEB-23,Dec 2022,-0.64,-0.5,0.14,21.88
SRE,28-FEB-23,Dec 2022,2.06,2.35,0.29,14.08
SRI,01-MAR-23,Dec 2022,0.17,0.11,-0.06,-35.29
SRPT,28-FEB-23,Dec 2022,-1.28,-1.24,0.04,3.13
SSB,26-JAN-23,Dec 2022,2.06,1.9,-0.16,-7.77
SSD,06-FEB-23,Dec 2022,1.11,1.35,0.24,21.62
SSNC,07-FEB-23,Dec 2022,1.16,1.16,0.0,0.0
SSRM,22-FEB-23,Dec 2022,0.1,0.12,0.02,20.0
SSTI,22-FEB-23,Dec 2022,-0.02,-0.11,-0.09,-450.0
SSTK,09-FEB-23,Dec 2022,0.98,1.05,0.07,7.14
ST,31-JAN-23,Dec 2022,0.88,0.96,0.08,9.09
STAA,21-FEB-23,Dec 2022,0.15,0.14,-0.01,-6.67
STAG,15-FEB-23,Dec 2022,0.56,0.17,-0.39,-69.64
STBA,26-JAN-23,Dec 2022,0.95,1.03,0.08,8.42
STE,08-FEB-23,Dec 2022,2.22,2.02,-0.2,-9.01
STEL,27-JAN-23,Dec 2022,0.6,0.04,-0.56,-93.33
STEM,16-FEB-23,Dec 2022,-0.19,-0.23,-0.04,-21.05
STEP,09-FEB-23,Dec 2022,0.27,0.27,0.0,0.0
STLD,25-JAN-23,Dec 2022,3.6,4.37,0.77,21.39
STNE,14-MAR-23,Dec 2022,0.11,0.14,0.03,27.27
STNG,16-FEB-23,Dec 2022,4.38,4.24,-0.14,-3.2
STOK,06-MAR-23,Dec 2022,-0.72,-0.65,0.07,9.72
